hedge,sentence,usage1,usage2
"mas o menos","Google no arroja datos, es un buscador que te enlaza a documentos con estadísticas y dependiendo de quien los ha publicado son <strong>mas o menos</strong> fiables.","Me dijeron más o menos qué tengo que hacer.","Usa más o menos azúcar de acuerdo a tu gusto."
"rara vez","Basura en el suelo: Rara vez veo a alguien tirar porquería al suelo, muy muy <strong>rara vez</strong>.","Rara vez ceno en ese restaurante.","Otro"
"bastantes","Yo en España he trabajado con <strong>bastantes</strong> latinos y eran parte del grupo, venían con nosotros de juerga, venían con su familía a nuestras reuniones...","Hay bastantes cosas por hacer.","Otro"
"tecnicamente","Hombre, nueva, lo que se dice nueva...<strong>tecnicamente</strong> si.","Técnicamente no es una respuesta correcta.","Los resultados del estudio son técnicamente precisos."
"espero","<strong>espero</strong> que te haya quedado claro y perdona si algo que yo haya dicho te haya sentado mal, pero pienso que hay que saber respetar la opinion de los demas y contribuir a ellas desde un angulo constructivo.","Espero que todo salga bien.","Espero una respuesta antes del Lunes."
"podrias","Me <strong>podrias</strong> mandar información de la habitación por favor.","Podrías considerar otra solución.","Tú podrías imaginar un mundo sin violencia."
"se ve","Eso sí, unas lonchinas de ésas que <strong>se ve</strong> a través de ellas.","Se ve como una propuesta interesante.","Su casa se ve desde la colina."
"de repente","<strong>de repente</strong> cambia y hoy nieve!!!","De repente sentí muchas ganas de jugar futbol.","Otro"
"quien sabe","para que veas <strong>quien sabe</strong> y conoce USA de verdad, jajaajajaj!","Quién sabe si esto funcione.","¿Quién sabe cómo resolver este problema?"
"seguido","Pero claro, no creo que otros paises sean diferentes que al fin y al cabo tambien me acuerdo de ciertas frases españolas que me confunded............especialmente lo de ""que aproveche"" (<strong>seguido</strong> de respuesta tonta) ""si gusta...?""","Mis padres me visitan muy seguido.","Otro"
"parcialmente","Suele ser la mujer la que sacrifica su empleo total o <strong>parcialmente</strong> para estar más tiempo con los hijos o para ajustarse al horario del colegio, etc.","Lo que dices es parcialmente verdadero.","Otro"
"imagino","Yo también tengo mucha, y me <strong>imagino</strong> que cuando los que tenemos mucha paciencia nos cabreamos, nos cabreamos de verdad, pero de verdad de la buena.","Imagino que hay que actuar cuanto antes.","Imagino un mundo sin violencia."
"esencialmente","Por ejemplo, llevar la cabeza cubierta en sitios públicos, celebrar su propio calendario festivo, mantener el rol del hombre/mujer, hijos/hijas de la cultura de procedencia, forma de relación social (en comunidades crecientes de su mismo origen), gastronomía... es decir, mantienen casi idéntica escena social y cultural que en su país de origen con la diferencia de tener trabajo y derechos, mejor cobertura social y aspectos no <strong>esencialmente</strong> culturales sino de bienestar material.","La película es esencialmente una parodia.","Otro"
"probablemente ","En fin... Que sí que hay que ser padre para entender ciertas cosas... Para entender, por ejemplo, que si se tira en el suelo del supermercado a patalear por un caramelo, sólo por eso, ya no le puedes decir que sí... Para entender que, aunque a tí también te chirríen los oídos, si te dedicas a calmarle o a intentar soltarle la moralina, <strong>probablemente </strong>los de la cola tengan que esperar 4 horas más hasta salir del súper (y que además no te están mirando con cara de muchos amigos), así que le dejas pataleando en el suelo y cargas la compra... Para entender que, lo que mejor funciona en un caso así es decirle ""pues ahí te quedas, yo me voy"", porque el niño va a callarse y salir disparado detrás tuyo en cuanto vea que vas en serio y no consigue llamar tu atención así... y un largo etcétera.","Probablemente sea mejor que hablemos con tu familia.","Otro"
"espero","<strong>espero</strong> que este post ayude a soltar tensiones.","Espero que todo salga bien.","Espero una respuesta antes del Lunes."
"de repente","Adicional a ello, como te indica mi compare, te va a quitar broncas con los de migración, que si te ven con billete de ida nada mas <strong>de repente</strong> se les cruza el cable y no te dejan entrar a venezuela.","De repente sentí muchas ganas de jugar futbol.","Otro"
"generalmente","Cuando llegan millones de inmigrantes de un país, <strong>generalmente</strong> se juntan (eso pasó con alemanes, irlandeses, italianos, judíos, rusos, etc., etc.).","Generalmente no salgo los jueves por la tarde.","Otro"
"mas o menos","Vacas: hay empresas que te dan nada mas entrar solo 5 dias... y empresas que te dan un monton... yo tengo <strong>mas o menos</strong> el mes (unos 23 dias laborables).. pero lo normal es empezar con menos.","Me dijeron más o menos qué tengo que hacer.","Usa más o menos azúcar de acuerdo a tu gusto."
"seguramente","Casos como este <strong>seguramente</strong> se repetirán.","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente."
"multiples","Por cierto no tengo nada de antiamericano, ni de proaustraliano, eso si me siento español y no por eso voy a dejar de reconocer nuestras virtudes y nuestros <strong>multiples</strong> defectos.","Tenemos múltiples servicios disponibles.","Otro"
"creo","Es interesante porque la eólica <strong>creo</strong> que ya ha tocado el techo razonable de instalación debido a la aún escasa capacidad de almacenamiento.","Yo creo que hay que esperar.","Yo creo en la resurrección de Jesucristo."
"medio","pues no naci en cuna, a los trece ya estaba trabajando y catorce horas todos los santos dias; conozco el problema de la inmigracion, ya que por los estudios que tengo, colabore muchos anios con Elche Acoge, una asociacion de ayuda al inmigrante, no todo vale y el fin no justifica los medios, tampoco defiendo a las grandes marcas, pero si al empresario <strong>medio</strong>, que es al que le estan haciendo mucho danio, no puede ni debe prevalecr el derecho de unos por encima del de otros, encima, cuando lo que hacen es aprovecharse de tu trabajo, hay otras formas...","Juan está medio loco.","Mi asiento es el de en medio."
"ocasionalmente","Nos gustaria conocer a gente con niños (o sin ellos, pero con algo de aguante...) y tambien a gente que quiera hacer de baby-sitter <strong>ocasionalmente</strong> para ganar algo de dinero y nosotros podamos tener algo de vida adulta!","Ocasionalmente visito a mis tíos en España.","Otro"
"podrias","<strong>podrias</strong> poner tu dinero en Euros en Paypal y sacarlo en Libras poco a poco cuando estés en UK.","Podrías considerar otra solución.","Tú podrías imaginar un mundo sin violencia."
"alguna","Por otra parte y esto en forma personal, yo jamás daría ni mi facebook, mail etc a nadie del foro, a no ser que conozca a alguien en <strong>alguna</strong> quedada etc.. y me caiga bien.","Alguna pluma habrá caído por la abertura.","Otro"
"seguramente","Me veo viviendo inicialmente en un hotel y buscando desde alli <strong>seguramente</strong>.","El evento seguramente será un éxito.","Las contraseñas nos permiten navegar la red seguramente."
"se ve","(también <strong>se ve</strong> la enorme caída del ahorro de Grecia)","Se ve como una propuesta interesante.","Su casa se ve desde la colina."
"multiples","Fue duro, muy duro... pasé por un engaño de una agencia de colocación española que me timó, dormí en un mes y medio en 20 hostels diferentes en habitaciones <strong>multiples</strong> (en las que a veces eramos 15).","Tenemos múltiples servicios disponibles.","Otro"
"sin duda","Siempre me confunden con español, <strong>sin duda</strong>, algunas veces con Italiano.","Sin duda el evento será un éxito.","Al terminar la clase, quedé sin duda alguna sobre el material."
"probablemente ","<strong>probablemente </strong>cometí el mismo error que la persona que abrió este hilo: ir a los sitios a juzgar.","Probablemente sea mejor que hablemos con tu familia.","Otro"
"aparentemente","- Además de que por lo que escucho por muchos conocidos gays que tengáis <strong>aparentemente</strong> no son de los de ""tipo lobby gay"" (como se me dice a mí) y no os muestran el punto de vista desde el otro lado, el del discriminado.-","Aparentemente habrá un concierto esta tarde.","Otro"
"puede","@killermann ""Con latinas he hablado mucho sobre los holandeses y suelen decir que son dóciles, sumisos, nada machistas e incluso que ""se les <strong>puede</strong> engañar y sacar lo que sea fácilmente"".","Esta ruta puede ser peligrosa.","José puede entrar gratuitamente por ser un estudiante."
"a veces",", los haiku tienen su profundidad filosofica, yo elegi mi mujer de japon, un pais donde la gente es tan profundamente diferente en sentimientos que <strong>a veces</strong> me parecen de otro planeta","A veces puedo ser un poco molesto.","Otro"
"reducido","La cuestion es que me quiero ir a trabajar al extranjero pero no tengo claro donde, por que mi ingles es bastante <strong>reducido</strong> y mi mayor intencion es aprender otro tipo de cocina y el conocer otros paises.","El espacio para convivir es reducido.","Los fondos para el arte se han reducido."
"diria","joer Pilar yo me quede sorprendida cuando vi las fotos de FB y vi que no estas gorda para nada! despues de leerte aqui cualquiera <strong>diria</strong> que pesas 200 kilos y no! y encima eres muy guapa!","Yo diría que hay que esperar.","Mi padre diría que eso está mal."
"especulo","Así que... solo <strong>especulo</strong>.","Yo especulo que sería mejor esperar.","Yo especulo sobre la teoría política de Marx."
"un poco","Yo estoy <strong>un poco</strong> lejos de Zürich (Aquisgrán, Alemania) pero me apunto si un grupo de españoles organiza algo a menos de 1000km de distancia.","Es un poco atrevido hablarle de esa manera.","Preparé un poco de pollo para la comida."
"usualmente","<strong>usualmente</strong> hay 4 o más kots en la casa y, aunque nunca he alquilado uno de esos, me parece que las condiciones son algo particulares: contratos de 10 meses (set-jun).","Usualmente no salgo los jueves por la tarde.","Otro"
"seguido","Pero luego esto es igual un poco como cuando os quejáis de ser víctima de racismo en Alemania, pero a renglón <strong>seguido</strong> os apresuráis a decir ""es que yo no soy un magrebí, un ecuatoriano...¡¡es que soy español!!""","Mis padres me visitan muy seguido.","Otro"
"basicamente","<strong>basicamente</strong>, se demuestra que como sociedad estamos corrompiendo a los menores, obligándoles a madurar antes de hora.","La película es básicamente una parodia.","Otro"
"creo","Ay, Arait, <strong>creo</strong> que nadie en este mundo está guapo recién levantado XD","Yo creo que hay que esperar.","Yo creo en la resurrección de Jesucristo."
"tecnicamente","Aunque <strong>tecnicamente</strong> no estoy viviendo en EE.UU., me paso el 80% de mi tiempo trabajando aquí, con lo que a efectos prácticos casi que sí...","Técnicamente no es una respuesta correcta.","Los resultados del estudio son técnicamente precisos."
